Tipo,Conjunto de Instituições
Política,Regime político e administrativo
Política,Planos de Desenvolvimento / Política Industrial
Política,Política Fiscal
Política,Arranjos intermunicipais
Política,Política externa (relações comerciais)
Política,Política Tributária
Política,Legislação trabalhista e seguridade social
Econômica,Mercado de Câmbio
Econômica,Mercado de Crédito
Econômica,Mercado de Capitais nacional
Econômica,Classificação de risco e investimento externo
Cultural,Crenças Corporativas
Cultural,Modelo de desenvolvimento
Cultural,Ideologia dominante
