Ano,saldo_circulacao_libras_mil,divida_registrada_dolares_milhoes
1824,1333,
1825,5086,
1826,4976,
1827,4866,
1828,4806,
1829,5519,
1830,5332,
1831,5332,
1832,5332,
1833,5332,
1834,5332,
1835,5332,
1836,5307,
1837,5257,
1838,5208,
1839,5580,
1840,5580,
1841,5580,
1842,5580,
1843,6187,
1844,6187,
1845,6187,
1846,6187,
1847,6187,
1848,6187,
1849,6187,
1850,6183,
1851,6010,
1852,6979,
1853,5872,
1854,5824,
1855,5636,
1856,5493,
1857,5345,
1858,6719,
1859,6484,
1860,7655,
1861,7432,
1862,7205,
1863,10820,
1864,7947,
1865,14735,
1866,14417,
1867,14069,
1868,13697,
1869,13064,
1870,12721,
1871,15825,
1872,15463,
1873,15053,
1874,14630,
1875,19487,
1876,19037,
1877,18501,
1878,17928,
1879,17154,
1880,16553,
1881,15870,
1882,15002,
1883,19036,
1884,18419,
1885,17827,
1886,23554,
1887,22952,
1888,30368,
1889,31104,
1890,30897,
1891,30579,
1892,30180,
1893,33487,
1894,32929,
1895,39817,
1896,40203,
1897,40461,
1898,40308,
1899,42020,
1900,44182,
1901,59996,291.6
1902,59769,290.5
1903,68269,331.8
1904,69866,339.5
1905,78023,379.2
1906,87656,426.0
1907,91246,443.5
1908,111599,542.4
1909,113685,552.5
1910,128260,624.6
1911,132184,643.2
1912,131526,640.5
1913,144233,702.1
1914,160987,786.3
1915,161900,770.0
1916,161623,770.6
1917,158545,755.3
1918,153678,732.3
1919,152423,675.1
1920,150335,550.4
1921,169368,651.4
1922,185377,820.7
1923,183442,839.1
1924,181683,802.5
1925,182982,883.6
1926,210454,1022.4
1927,234186,1138.4
1928,254969,1240.7
1929,252286,1225.4
1930,266154,1293.5
1931,275966,1233.6
1932,268430,940.6
1933,266430,1123.8
1934,264021,1350.0
1935,258783,1268.8
1936,252638,1255.9
1937,242706,1199.9
1938,242706,1186.8
1939,242706,1082.5
1940,241290,972.4
1941,239539,965.3
1942,231850,934.4
1943,226237,911.7
1944,186818,752.9
1945,173214,698.1
1946,160044,
1947,154295,
1948,145936,
1949,116487,
1950,106828,
