Estado,Ano,Total,Homens,Mulheres,Fonte
Alagoas,1872,348009.0,173497.0,174512.0,Censo 1872
Alagoas,1890,511440.0,250480.0,260960.0,Censo 1890
Alagoas,1900,649273.0,333141.0,316132.0,Censo 1900
Alagoas,1920,978748.0,479303.0,499445.0,Censo 1920
Amazonas,1872,57610.0,31470.0,26140.0,
Amazonas,1890,147915.0,80921.0,66994.0,
Amazonas,1900,249756.0,136636.0,11312.0,
Amazonas,1920,363166.0,196202.0,166964.0,
Bahia,1872,1379616.0,719447.0,660169.0,
Bahia,1890,1919802.0,960270.0,959532.0,
Bahia,1900,2117956.0,1056314.0,1061642.0,
Bahia,1920,3334465.0,1646104.0,1688361.0,
Ceará,1872,721686.0,365847.0,355839.0,
Ceará,1890,805687.0,394909.0,410778.0,
Ceará,1900,849127.0,419279.0,429848.0,
Ceará,1920,1319228.0,637518.0,681710.0,
Distrito Federal (Rio),1872,274972.0,158766.0,116206.0,
Distrito Federal (Rio),1890,522651.0,293657.0,228994.0,
Distrito Federal (Rio),1900,746749.0,419569.0,32718.0,
Distrito Federal (Rio),1920,1157873.0,598307.0,559566.0,
Espírito Santo,1872,82137.0,41466.0,40671.0,
Espírito Santo,1890,135997.0,69813.0,66184.0,
Espírito Santo,1900,209783.0,109228.0,100555.0,
Espírito Santo,1920,457328.0,234933.0,222395.0,
Goiás,1872,160395.0,80340.0,80055.0,
Goiás,1890,227572.0,112583.0,114989.0,
Goiás,1900,255284.0,127822.0,127462.0,
Goiás,1920,511919.0,259538.0,252381.0,
Maranhão,1872,359040.0,178831.0,1802.0,
Maranhão,1890,430854.0,212586.0,218268.0,
Maranhão,1900,499308.0,246751.0,252557.0,
Maranhão,1920,874337.0,428759.0,445578.0,
Mato Grosso,1872,60417.0,31623.0,28794.0,
Mato Grosso,1890,92827.0,47196.0,45631.0,
Mato Grosso,1900,118025.0,59797.0,58228.0,
Mato Grosso,1920,246612.0,133146.0,113466.0,
Minas Gerais,1872,2039735.0,1047026.0,992709.0,
Minas Gerais,1890,3184099.0,1627461.0,1556638.0,
Minas Gerais,1900,594471.0,1838238.0,1756233.0,
Minas Gerais,1920,5888174.0,2981806.0,2906368.0,
Pará,1872,275237.0,142497.0,132740.0,
Pará,1890,328455.0,166357.0,162098.0,
Pará,1900,445356.0,228471.0,216885.0,
Pará,1920,983507.0,502687.0,480820.0,
Paraíba,1872,376226.0,190114.0,186112.0,
Paraíba,1890,457232.0,219833.0,237399.0,
Paraíba,1900,490784.0,244201.0,246583.0,
Paraíba,1920,961106.0,468580.0,492526.0,
Paraná,1872,126722.0,64810.0,61912.0,
Paraná,1890,249491.0,128209.0,121282.0,
Paraná,1900,327136.0,168927.0,158209.0,
Paraná,1920,685711.0,354526.0,331185.0,
Pernambuco,1872,841539.0,428588.0,412951.0,
Pernambuco,1890,1030224.0,503555.0,526669.0,
Pernambuco,1900,1178150.0,586012.0,592138.0,
Pernambuco,1920,2154835.0,1055313.0,1099522.0,
Pirauí,1872,202222.0,102267.0,99955.0,
Pirauí,1890,267609.0,133707.0,133902.0,
Pirauí,1900,334328.0,169163.0,165165.0,
Pirauí,1920,609003.0,303185.0,305818.0,
Rio de Janeiro,1872,782724.0,418200.0,364524.0,
Rio de Janeiro,1890,876884.0,445673.0,431211.0,
Rio de Janeiro,1900,926035.0,472649.0,453386.0,
Rio de Janeiro,1920,1559371.0,791310.0,768061.0,
Rio Grande do Norte,1872,233979.0,119292.0,114687.0,
Rio Grande do Norte,1890,268273.0,130712.0,137561.0,
Rio Grande do Norte,1900,274317.0,133925.0,140392.0,
Rio Grande do Norte,1920,537135.0,260778.0,276357.0,
Rio Grande do Sul,1872,434813.0,226708.0,208105.0,
Rio Grande do Sul,1890,897455.0,459118.0,438337.0,
Rio Grande do Sul,1900,1149070.0,584208.0,564862.0,
Rio Grande do Sul,1920,2182713.0,1103986.0,1078727.0,
Santa Catarina,1872,159802.0,81157.0,78645.0,
Santa Catarina,1890,283769.0,141989.0,141780.0,
Santa Catarina,1900,320289.0,161558.0,158731.0,
Santa Catarina,1920,668743.0,339712.0,329031.0,
São Paulo,1872,837354.0,436344.0,401010.0,
São Paulo,1890,1384753.0,708011.0,676742.0,
São Paulo,1900,2279608.0,1184164.0,1095444.0,
São Paulo,1920,4592188.0,2381740.0,2210448.0,
Sergipe,1872,176243.0,85579.0,90664.0,
Sergipe,1890,310926.0,150892.0,160034.0,
Sergipe,1900,356264.0,175184.0,181080.0,
Sergipe,1920,477064.0,228055.0,249009.0,
Território do Acre,1872,,,,
Território do Acre,1890,,,,
Território do Acre,1900,,,,
Território do Acre,1920,92379.0,58330.0,34049.0,
Brasil,1872,9930478.0,5123869.0,4806609.0,
Brasil,1890,14333915.0,7237932.0,7095983.0,
Brasil,1900,17371069.0,8855237.0,8515832.0,
Brasil,1920,30635605.0,15443818.0,15191797.0,
