Ano,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Exportação_ALEMANHA OCIDENTAL (RFA),3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Importação_ALEMANHA OCIDENTAL (RFA),3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_ANOS_Importação_CANADÁ,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Exportação_CANADÁ,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Importação_CANADÁ,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_ANOS_Importação_GRA-BRETANHA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (£ £)_Exportação_GRA-BRETANHA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (£ £)_Exportação_GRA-BRETANHA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (£ £)_Importação_GRA-BRETANHA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_ANOS_Importação_JAPÃO,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Exportação_JAPÃO,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Importação_JAPÃO,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_ANOS_Importação_BÉLGICA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Exportação_BÉLGICA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Importação_BÉLGICA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_ANOS_Importação_FRANÇA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Exportação_FRANÇA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Importação_FRANÇA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_ANOS_Importação_ITÁLIA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (£ £)_Exportação_ITÁLIA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (£ £)_Importação_ITÁLIA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_ANOS_Importação_ARGENTINA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Exportação_ARGENTINA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Importação_ARGENTINA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_ANOS_Importação_ESTADOS UNIDOS,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Exportação_ESTADOS UNIDOS,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Importação_ESTADOS UNIDOS,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_ANOS_Importação_HOLANDA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (£ £)_Exportação_HOLANDA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (£ £)_Importação_HOLANDA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_ANOS_Importação_SUÉCIA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Exportação_SUÉCIA,3  Valor em libras do intercâmbio comercial com os principais países  1901-1939_INTERCÂMBIO COMERCIAL (££)_Importação_SUÉCIA
1901,6014842.0,2012651.0,1901 ,,,1901  ,(1),5259667.0,6709338.0,1901,,,1901,893793.0,491703.0,1901 ,4761907.0,1713060.0,1901  ,378171.0,816667.0,1901,907719.0,2892932.0,1901 ,17462650.0,2659237.0,1901  ,1978695.0,129484.0,1901  ,,
1902 ,5761395.0,2662877.0,1902 ,18319.0,,1902  ,,6323821.0,6552811.0,1902,,,1902,817884.0,553126.0,1902 ,3795579.0,2044618.0,1902  ,325104.0,852886.0,1902,1026353.0,2084000.0,1902 ,13484395.0,2851743.0,1902  ,1786105.0,132776.0,1902  ,,
1903 ,5469850.0,2981966.0,1903 ,,159177.0,1903  ,,7128169.0,6859002.0,1903,,,1903,700702.0,707653.0,1903 ,3483866.0,2132471.0,1903  ,312240.0,901259.0,1903,790256.0,2166713.0,1903 ,15200591.0,2731928.0,1903  ,1129893.0,154788.0,1903  ,,
1904 ,5492876.0,3285429.0,1904 ,,132506.0,1904  ,,6374696.0,7190367.0,1904,,,1904,656354.0,839820.0,1904 ,1998831.0,2316773.0,1904  ,373313.0,942249.0,1904,1116064.0,2666503.0,1904 ,19872077.0,2884775.0,1904  ,764314.0,110017.0,1904  ,,
1905,6750116.0,3977321.0,1905 ,,156205.0,1905  ,,8208833.0,7931245.0,1905,,,1905,903808.0,1086771.0,1905 ,3265708.0,2686867.0,1905  ,414270.0,993994.0,1905,1361644.0,3511141.0,1905 ,18360494.0,3082570.0,1905  ,1324517.0,130367.0,1905  ,,
1906,9341357.0,4873140.0,1906 ,672.0,170531.0,1906  ,,8544904.0,9294707.0,1906,,,1906,1105841.0,1286116.0,1906 ,6507470.0,3057305.0,1906  ,510118.0,1094826.0,1906,1923758.0,3508922.0,1906 ,18627520.0,3805128.0,1906  ,1842982.0,160770.0,1906,68902.0,143414.0
1907,9276673.0,6218348.0,1907 ,738.0,248687.0,1907  ,,8657955.0,12155110.0,1907,,,1907,2930123.0,1609493.0,1907 ,7205838.0,3499860.0,1907  ,316047.0,1434821.0,1907,1759699.0,3630709.0,1907 ,17432356.0,5172714.0,1907  ,2136520.0,229821.0,1907,46929.0,140882.0
1908,6964846.0,5271682.0,1908 ,3907.0,233360.0,1908  ,,6521890.0,10224565.0,1908,1180.0,,1908,979323.0,1656954.0,1908 ,3376069.0,3199077.0,1908  ,505049.0,1204624.0,1908,1855171.0,3596206.0,1908 ,17706931.0,4298439.0,1908  ,2030715.0,192884.0,1908,37550.0,144761.0
1909,9941154.0,5784771.0,1909 ,2213.0,196965.0,1909  ,,10297522.0,9964888.0,1909,,,1909,1341315.0,1503420.0,1909 ,5480798.0,3844039.0,1909  ,548162.0,1081628.0,1909,2114122.0,3727327.0,1909 ,25595429.0,4597941.0,1909  ,2975119.0,361183.0,1909,76799.0,115699.0
1910,7466734.0,7607898.0,1910 ,77839.0,233392.0,1910  ,,14581334.0,13676221.0,1910,670.0,,1910,1164570.0,2163805.0,1910 ,5310094.0,4539270.0,1910  ,434139.0,1519965.0,1910,2382457.0,4071564.0,1910 ,22858529.0,6127582.0,1910  ,3241896.0,303701.0,1910,320896.0,215292.0
1911,9702501.0,8869911.0,1911 ,5181.0,208377.0,1911  ,,10040464.0,15343565.0,1911,172.0,,1911,1602682.0,2202788.0,1911 ,5228774.0,4671533.0,1911  ,770204.0,1926282.0,1911,2629630.0,4024858.0,1911 ,23810284.0,7045277.0,1911  ,5439057.0,339134.0,1911,650754.0,213134.0
1912,10684814.0,10909070.0,1912 ,37405.0,233174.0,1912  ,,8861224.0,15970277.0,1912,2875.0,,1912,2001948.0,3414099.0,1912 ,7307611.0,5710102.0,1912  ,842820.0,2488798.0,1912,2927776.0,4756625.0,1912 ,29200594.0,9899036.0,1912  ,4728613.0,474337.0,1912,641573.0,281367.0
1913,9159313.0,11737398.0,1913 ,33065.0,273953.0,1913  ,,8623309.0,16436421.0,1913,2931.0,35933.0,1913,1665607.0,3431995.0,1913 ,7992442.0,6571965.0,1913  ,836890.0,2544407.0,1913,3104188.0,4998706.0,1913 ,21103483.0,10553433.0,1913  ,4784506.0,727804.0,1913,657287.0,294175.0
