Ano,Bancos Criados
1808,1
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,1
1817,0
1818,1
1819,0
1820,0
1821,0
1822,0
1823,0
1824,1
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,1
1832,0
1833,0
1834,3
1835,0
1836,1
1837,0
1838,1
1839,0
1840,0
1841,1
1842,0
1843,0
1844,0
1845,1
1846,1
1847,1
1848,3
1849,0
1850,0
1851,2
1852,1
1853,3
1854,4
1855,3
1856,1
1857,6
1858,4
1859,0
1860,1
1861,4
1862,4
1863,4
1864,0
1865,3
1866,1
1867,0
1868,1
1869,0
1870,0
1871,2
1872,3
1873,1
1874,2
1875,4
1876,2
1877,4
1878,4
1879,1
1880,7
