Ano,"1 ─ Exportações (FOB), Importações (CIF), Saldo comercial e Taxa de câmbio implícita: 1901-1939_VALOR_Em moeda nacional (1)_Exportação (FOB)","1 ─ Exportações (FOB), Importações (CIF), Saldo comercial e Taxa de câmbio implícita: 1901-1939_VALOR_Em moeda nacional (1)_Importação (CIF)","1 ─ Exportações (FOB), Importações (CIF), Saldo comercial e Taxa de câmbio implícita: 1901-1939_VALOR_Em moeda estrangeira (2)_Exportação (FOB)","1 ─ Exportações (FOB), Importações (CIF), Saldo comercial e Taxa de câmbio implícita: 1901-1939_VALOR_Em moeda estrangeira (2)_Importação (CIF)","1 ─ Exportações (FOB), Importações (CIF), Saldo comercial e Taxa de câmbio implícita: 1901-1939_SALDO COMERCIAL_Em moeda nacional (1)_Importação (CIF)","1 ─ Exportações (FOB), Importações (CIF), Saldo comercial e Taxa de câmbio implícita: 1901-1939_SALDO COMERCIAL_Em moeda estrangeira (2)_Importação (CIF)","1 ─ Exportações (FOB), Importações (CIF), Saldo comercial e Taxa de câmbio implícita: 1901-1939_TAXA DE CÂMBIO IMPLÍCITA (3)_Em moeda estrangeira (2)_Importação (CIF)"
1901 ,860827,448353,40622,21377,412474,19245,21.116
1902 ,735940,471114,36437,23279,264826,13158,20.213
1903 ,742632,486489,36833,24208,256143,12625,20.136
1904 ,776367,512588,39430,25915,263779,13515,19.724
1905 ,685457,454995,44643,29830,230462,14813,15.314
1906 ,799670,499287,53059,33204,300383,19855,15.058
1907 ,860891,644938,54177,40528,215953,13649,15.899
1908 ,705791,567272,44155,35491,138519,8664,15.984
1909 ,1016590,592876,63724,37139,423714,26585,15.957
1910 ,939413,713863,63092,47872,225550,15220,14.899
1911 ,1003925,793716,66839,52822,210209,14017,15.023
1912 ,1119737,951370,74649,63425,168367,11224,15.0
1913 ,981768,1007495,65451,67166,-25727,-1715,15.0
1914 ,755747,561853,46803,35473,193894,11330,16.014
1915 ,1042298,582996,53951,30088,459302,23863,19.34
1916 ,1136888,810759,56462,40369,326129,16093,20.114
1917 ,1192175,837738,63031,44510,354437,18521,18.876
1918 ,1137100,989404,61168,52817,147696,8351,18.656
1919 ,2178179,1334259,117388,71867,844460,45521,18.562
1920 ,1752411,2090633,82346,88369,-338222,-6023,22.511
1921 ,1709722,1689839,45411,46033,19883,-622,37.176
1922 ,2332084,1652630,61317,43609,679454,17708,37.976
1923 ,3297033,2267159,68562,47441,1029874,21121,47.966
1924 ,3863554,2789557,86737,62502,1073997,24235,44.58
1925 ,4021965,3376832,102875,84443,645133,18432,39.498
1926 ,3190559,2705553,94254,79876,485006,14378,33.86
1927 ,3644118,3273163,88689,79634,370955,9055,41.095
1928 ,3970273,3694990,97426,90669,275283,6757,40.752
1929 ,3860482,3527738,94831,86653,332744,8178,40.71
1930 ,2907354,2343705,65746,53619,563649,12127,43.992
1931 ,3398164,1880934,49544,28756,1517230,20788,67.421
1932 ,2536765,1518694,36630,21744,1018071,14886,69.474
1933 ,2820271,2165254,35790,28132,655017,7658,77.994
1934 ,3459005,2502785,35240,25467,956221,9773,98.206
1935 ,4104008,3855917,33012,27431,248091,5581,131.693
1936 ,4895435,4268667,39069,30066,626768,9003,132.554
1937 ,5092059,5314551,42530,40608,-222492,1922,125.173
1938 ,5096890,5195570,35945,35916,-98680,29,143.227
1939 ,5615519,4993992,37298,31801,621527,5497,153.541
