Ano,Exportações (FOB),Importações (FOB),Saldo Comercial
1901,197.8,89.4,108.4
1902,176.9,97.2,79.7
1903,179.3,101.6,77.7
1904,191.5,108.9,82.6
1905,216.8,125.9,90.9
1906,258.1,139.0,119.1
1907,263.4,169.6,93.8
1908,214.8,148.7,66.1
1909,309.6,155.5,154.1
1910,307.3,201.1,106.2
1911,325.0,220.9,104.1
1912,363.3,261.0,102.3
1913,318.9,273.6,45.3
1914,228.6,146.0,82.6
1915,262.20186,115.1,147.10186000000002
1916,274.40532,148.3,126.10532
1917,306.33066,158.6,147.73066000000003
1918,297.27648,193.9,103.37647999999999
1919,576.1642218943335,280.4,295.76422189433356
1920,393.65142528885485,381.8,11.851425288854841
1921,225.32890131075527,201.1,24.228901310755276
1922,303.6064049315719,231.5,72.10640493157189
1923,334.7578567983341,207.7,127.05785679833411
1924,420.0732790079424,282.7,137.37327900794241
1925,496.77395565246854,359.3,137.47395565246853
1926,458.1,339.6,118.5
1927,431.2,335.4,95.8
1928,473.9,388.8,85.1
1929,460.4,367.7,92.7
1930,319.4,225.5,93.9
1931,244.0,116.5,127.5
1932,179.4,92.8,86.6
1933,216.8,148.2,68.6
1934,292.8,184.8,108.0
1935,269.5,196.5,73.0
1936,320.6,196.4,124.2
1937,346.8,279.2,67.6
1938,294.3,246.5,47.8
1939,299.9,218.0,81.9
1940,252.1,200.7,51.4
1941,367.7,222.5,145.2
1942,409.8,177.4,232.4
1943,472.6,226.9,245.7
1944,580.3,310.4,269.9
1945,655.1,322.5,332.6
1946,985.0,594.0,391.0
1947,1157.0,1027.0,130.0
1948,1183.0,905.0,278.0
1949,1100.0,947.0,153.0
1950,1359.0,934.0,425.0
1951,1771.0,1703.0,68.0
1952,1416.0,1702.0,-286.0
1953,1540.0,1116.0,424.0
1954,1558.0,1410.0,148.0
1955,1419.0,1099.0,320.0
1956,1483.0,1046.0,437.0
1957,1392.0,1285.0,107.0
1958,1244.0,1179.0,65.0
1959,1282.0,1210.0,72.0
1960,1270.0,1293.0,-23.0
1961,1405.0,1292.0,113.0
1962,1215.0,1304.0,-89.0
1963,1406.0,1294.0,112.0
1964,1430.0,1086.0,344.0
1965,1596.0,941.0,655.0
1966,1741.0,1303.0,438.0
1967,1654.0,1441.0,213.0
1968,1881.0,1855.0,26.0
1969,2311.0,1993.0,318.0
1970,2739.0,2507.0,232.0
1971,2904.0,3247.0,-343.0
1972,3991.0,4232.0,-241.0
1973,6199.199,6192.199,7.0
1974,7951.0,12641.3,-4690.3
1975,8669.898,12210.3,-3540.402
1976,10128.3,12383.0,-2254.7
1977,12120.2,12023.4,96.80000000000109
1978,12658.9,13683.1,-1024.2
1979,15244.4,18083.9,-2839.5
1980,20132.4,22955.2,-2822.8
1981,23293.0,22090.6,1202.4
1982,20175.1,19395.0,780.0999999999985
1983,21899.3,15428.9,6470.4
1984,27005.3,13915.8,13089.5
1985,25639.0,13153.5,12485.5
1986,22348.6,14044.3,8304.3
1987,26223.9,15051.9,11172.0
1988,33789.4,14605.3,19184.1
1989,34383.0,18263.0,16120.0
1990,31413.8,20661.0,10752.8
1991,31620.0,21041.0,10579.0
1992,35793.0,20554.0,15239.0
1993,38563.0,25256.0,13307.0
1994,43545.0,33078.0,10467.0
1995,46506.3,49857.5,-3351.2
1996,47746.727,53345.768,-5599.040999999997
1997,52994.34,59742.183,-6747.843000000001
1998,51139.862,57743.497379,-6603.635378999999
1999,48011.444,49271.8925,-1260.4484999999986
2000,55085.594537,55783.341,-697.7464630000031
