Ano,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO  COMERCIAL (US$  1 000)_Exportação_ALEMANHA  OCIDENTAL  (RFA),4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO  COMERCIAL (US$  1 000)_Importação_ALEMANHA  OCIDENTAL  (RFA),4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_ANTILHAS  HOLANDESAS,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Exportação_ANTILHAS  HOLANDESAS,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Importação_ANTILHAS  HOLANDESAS,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_ARGENTINA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Exportação_ARGENTINA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Importação_ARGENTINA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_BÉLGICA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Exportação_BÉLGICA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Importação_BÉLGICA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_CANADÁ,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Exportação_CANADÁ,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Importação_CANADÁ,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_ESTADOS UNIDOS (1),4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Exportação_ESTADOS UNIDOS (1),4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Importação_ESTADOS UNIDOS (1),4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_FRANÇA (2),4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Exportação_FRANÇA (2),4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Importação_FRANÇA (2),4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_GRÃ-BRETANHA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Exportação_GRÃ-BRETANHA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Importação_GRÃ-BRETANHA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_HOLANDA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Exportação_HOLANDA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Importação_HOLANDA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_ITÁLIA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Exportação_ITÁLIA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO COMERCIAL (US$ 1 000)_Importação_ITÁLIA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_JAPÃO,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO  COMERCIAL (US$  1 000)_Exportação_JAPÃO,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO  COMERCIAL (US$  1 000)_Importação_JAPÃO,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_SUÉCIA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO  COMERCIAL (US$  1 000)_Exportação_SUÉCIA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO  COMERCIAL (US$  1 000)_Importação_SUÉCIA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_ANOS_Importação_VENEZUELA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO  COMERCIAL (US$  1 000)_Exportação_VENEZUELA,4  Valor em dólares do intercâmbio comercial com os principais países  1938-1987_INTERCÂMBIO  COMERCIAL (US$  1 000)_Importação_VENEZUELA
1938,56352.0,61072.0,1938,,9402.0,1938,13366.0,34881.0,1938 ,10569.0,,1938 ,,3779.0,1938 ,101466.0,71393.0,1938,,0.0,1938,25917.0,30607.0,1938 ,12491.0,,1938 ,6300.0,,1938 ,13569.0,3883.0,1938,6351.0,7242.0,1938,,0.0
1939,36533.0,50659.0,1939,,8929.0,1939,16863.0,21946.0,1939 ,8715.0,,1939 ,,3932.0,1939 ,110430.0,87461.0,1939,,0.0,1939,29369.0,24186.0,1939 ,11654.0,,1939 ,7228.0,,1939 ,16645.0,3979.0,1939,9455.0,5955.0,1939,,0.0
1948,12509.0,1045.0,1948,,72217.0,1940,111790.0,79940.0,1948 ,56115.0,,1948 ,,18258.0,1948 ,510707.0,580972.0,1948,,11001.0,1948,111454.0,113056.0,1948 ,29580.0,,1948 ,30854.0,,1948 ,875.0,28.0,1948,20842.0,24926.0,1948,,11001.0
1949,17059.0,5936.0,1949,,78470.0,1949,84328.0,116126.0,1949 ,47732.0,,1949 ,,11651.0,1949 ,550454.0,468505.0,1949,,8244.0,1949,93210.0,142386.0,1949 ,34366.0,,1949 ,28263.0,,1949 ,1925.0,137.0,1949,31545.0,33209.0,1949,,8244.0
1950,18276.0,18835.0,1950,,88243.0,1950,76289.0,108504.0,1950 ,34371.0,,1950 ,,12552.0,1950 ,739052.0,374174.0,1950,,17092.0,1950,113053.0,133848.0,1950 ,32604.0,,1950 ,23777.0,,1950 ,70847.0,7287.0,1950,44620.0,47188.0,1950,,17092.0
1951,84731.0,110739.0,1951,,96540.0,1951,117679.0,123574.0,1951 ,41686.0,,1951 ,,33754.0,1951 ,867006.0,831382.0,1951,,57593.0,1951,173889.0,168714.0,1951 ,52078.0,,1951 ,30465.0,,1951 ,76450.0,21052.0,1951,47283.0,69310.0,1951,,57593.0
1952,79952.0,183757.0,1952,,108302.0,1952,96229.0,37405.0,1952 ,29149.0,,1952 ,,48613.0,1952 ,731191.0,824891.0,1952,,84460.0,1952,38556.0,169379.0,1952 ,40084.0,,1952 ,32987.0,,1952 ,18978.0,15780.0,1952,63163.0,62240.0,1952,,84460.0
1953,147104.0,108289.0,1953,17.0,102062.0,1953,76612.0,185189.0,1953 ,23208.0,6887.0,1953 ,24681.0,41001.0,1953 ,745262.0,366344.0,1953,511.0,93593.0,1953,70664.0,48817.0,1953 ,37329.0,15920.0,1953 ,46251.0,26146.0,1953 ,40812.0,11134.0,1953,54203.0,56801.0,1953,511.0,93593.0
1954,187510.0,157127.0,1954,29.0,121821.0,1954,100030.0,104905.0,1954 ,22060.0,4094.0,1954 ,14985.0,43711.0,1954 ,578378.0,537049.0,1954,386.0,80010.0,1954,74446.0,17331.0,1954 ,45642.0,33522.0,1954 ,53240.0,47331.0,1954 ,68315.0,79156.0,1954,56273.0,60058.0,1954,386.0,80010.0
1955,104404.0,88035.0,1955,70.0,78683.0,1955,99823.0,151859.0,1955 ,17605.0,24608.0,1955 ,15124.0,12389.0,1955,601526.0,308817.0,1955,406.0,92903.0,1955,60277.0,17660.0,1955 ,42390.0,33995.0,1955 ,47529.0,48718.0,1955 ,56214.0,45080.0,1955,48560.0,32736.0,1955,406.0,92903.0
1956,94071.0,79602.0,1956,114.0,62365.0,1956,65471.0,76755.0,1956 ,25939.0,16656.0,1956 ,18462.0,9821.0,1956,734312.0,354026.0,1956,576.0,118276.0,1956,53438.0,42654.0,1956 ,50647.0,13849.0,1956 ,32487.0,29279.0,1956 ,37172.0,49967.0,1956,57490.0,43899.0,1956,576.0,118276.0
1957,83288.0,127214.0,1957,38.0,56393.0,1957,103182.0,89868.0,1957 ,15177.0,24232.0,1957 ,18363.0,23670.0,1957,659141.0,548140.0,1957,762.0,119787.0,1957,66135.0,50817.0,1957 ,43484.0,21050.0,1957 ,27753.0,37937.0,1957 ,37470.0,23245.0,1957,45725.0,52000.0,1957,762.0,119787.0
1958,78569.0,141275.0,1958,19254.0,66504.0,1958,107006.0,88089.0,1958 ,17798.0,13871.0,1958 ,13630.0,18406.0,1958,534402.0,482692.0,1958,2135.0,137808.0,1958,53554.0,43852.0,1958 ,46549.0,21506.0,1958 ,33627.0,29291.0,1958 ,24509.0,33274.0,1958,43238.0,49214.0,1958,2135.0,137808.0
1959,86067.0,140595.0,1959,19045.0,56200.0,1959,42880.0,104537.0,1959 ,25842.0,14777.0,1959 ,16201.0,14501.0,1959,592141.0,461287.0,1959,42371.0,43143.0,1959,72528.0,37498.0,1959 ,57649.0,30348.0,1959 ,41226.0,29789.0,1959 ,30751.0,26801.0,1959,37404.0,47402.0,1959,1205.0,110503.0
1960,89941.0,135859.0,1960,10698.0,59705.0,1960,56392.0,94868.0,1960 ,25294.0,15991.0,1960 ,16603.0,15932.0,1960,563659.0,443124.0,1960,43130.0,68900.0,1960,64574.0,51186.0,1960 ,51648.0,35097.0,1960 ,38732.0,38375.0,1960 ,30763.0,37930.0,1960,41536.0,33732.0,1960,1265.0,114498.0
