Ano,Índice de Preço
1901,4.601715620504913
1902,5.020725171117323
1903,4.905612679920476
1904,6.602924851495589
1905,5.198888384151796
1906,6.697958817650979
1907,6.469916560098857
1908,6.301518810902204
1909,6.637296596197572
1910,9.158683823865525
1911,12.04487904472601
1912,12.92507744470905
1913,10.307286470515141
1914,8.194182957226987
1915,6.301562127752598
1916,7.456768897344139
1917,7.376748553057947
1918,8.421684267150473
1919,17.722351781058826
1920,11.505417510749446
1921,7.614062694656442
1922,10.96842717979916
1923,10.494288497240772
1924,15.678072270633283
1925,18.405618510931454
1926,17.145939390289286
1927,14.059494521513882
1928,17.086253354001496
1929,15.64470099149106
1930,9.00562868182413
1931,6.372443213703359
1932,7.511864931772154
1933,7.246872911077334
1934,7.0470170081333725
1935,5.603978644791263
1936,6.338406492920977
1937,7.612064791204591
1938,5.2557387807900655
1939,4.888413048128342
1940,4.845692834224598
1941,6.749793796791445
1942,8.867495828877006
1943,9.117714224598929
1944,9.233669090909093
1945,9.874472299465241
1946,13.676571336898396
1947,17.197937540106953
1948,17.1186
1949,19.9022
1950,35.605
1951,39.505
1952,40.3154
1953,42.6751
1954,45.4176
1955,37.5975
1956,37.3936
1957,36.0291
1958,32.5632
1959,25.6521
1960,25.8587
1961,25.5449
1962,23.9478
1963,23.4006
1964,31.0156
1965,31.9825
1966,27.698
1967,25.6932
1968,25.6042
1969,26.5438
1970,35.7266
1971,27.3481
1972,34.4862
1973,42.5213
1974,45.8749
1975,40.0073
1976,98.7692
1977,164.265
1978,114.706
1979,124.882
1980,116.027
1981,67.2729
1982,76.586
1983,81.6541
1984,90.9857
1985,83.9233
1986,153.676
1987,72.6325
1988,81.3264
1989,60.2009
1990,47.4649
1991,46.2336
1992,34.9078
1993,40.4203
1994,93.2598
1995,100.0
1996,80.8881
1997,115.745
1998,85.7427
1999,64.2179
2000,59.0
